Tiempo (s),Desplazamiento (m)
0.0,1.0
0.01,0.9995008738747589
0.02,0.9980073139514292
0.03,0.9955257696973606
0.04,0.9920636438494084
0.05,0.987629280275835
0.06,0.9822319509600494
0.07,0.9758818421235411
0.08,0.9685900395061473
0.09,0.9603685128225369
0.1,0.9512300994145213
0.11,0.941188487119512
0.12,0.9302581963761185
0.13,0.9184545615885426
0.14,0.9057937117720491
0.15,0.8922925505024091
0.16,0.8779687351927795
0.17,0.8628406557220497
0.18,0.8469274124392004
0.19,0.8302487935687294
0.2,0.8128252520426669
0.21,0.7946778817851485
0.22,0.7758283934759288
0.23,0.7562990898196124
0.24,0.7361128403477307
0.25,0.7152930557811281
0.26,0.6938636619804243
0.27,0.6718490735125867
0.28,0.6492741668618953
0.29,0.6261642533137908
0.3,0.6025450515402865
0.31,0.578442659915775
0.32,0.5538835285921869
0.33,0.5288944313625544
0.34,0.5035024373421011
0.35000000000000003,0.4777348824960105
0.36,0.4516193410430399
0.37,0.4251835967641199
0.38,0.39845561424503084
0.39,0.3714635100821686
0.4,0.34423552408030395
0.41000000000000003,0.31679999047110313
0.42,0.2891853091810119
0.43,0.2614199171769178
0.44,0.23353225991778204
0.45,0.20555076294018457
0.46,0.17750380360545948
0.47000000000000003,0.14941968303579375
0.48,0.12132659826633567
0.49,0.0932526146400149
0.5,0.06522563847139842
0.51,0.03727339000550061
0.52,0.009423376697054165
0.53,-0.018297133164707467
0.54,-0.045861136461173665
0.55,-0.07324192085529051
0.56,-0.1004130899847291
0.5700000000000001,-0.12734858821424128
0.58,-0.15402272492471625
0.59,-0.1804101983170186
0.6,-0.20648611870928674
0.61,-0.23222603130698272
0.62,-0.25760593842560797
0.63,-0.28260232114665423
0.64,-0.3071921603880118
0.65,-0.33135295737074155
0.66,-0.35506275346480803
0.67,-0.37830014939707424
0.68,-0.40104432380558475
0.6900000000000001,-0.4232750511248832
0.7000000000000001,-0.4449727187878723
0.71,-0.4661183437304563
0.72,-0.4866935881859913
0.73,-0.5066807747573232
0.74,-0.5260629007549908
0.75,-0.5448236517909454
0.76,-0.5629474146179485
0.77,-0.5804192892055986
0.78,-0.5972251000447496
0.79,-0.6133514066728997
0.8,-0.6287855134139286
0.81,-0.6435154783263956
0.8200000000000001,-0.657530121355416
0.8300000000000001,-0.670819031683957
0.84,-0.6833725742802165
0.85,-0.6951818956385624
0.86,-0.7062389287123257
0.87,-0.7165363970375627
0.88,-0.7260678180477061
0.89,-0.7348275055798332
0.9,-0.742810571574084
0.91,-0.7500129269685604
0.92,-0.7564312817928235
0.93,-0.7620631444638923
0.9400000000000001,-0.7669068202894301
0.9500000000000001,-0.7709614091835544
0.96,-0.7742268026014872
0.97,-0.776703679699992
0.98,-0.7783935027312898
0.99,-0.7792985116788737
1.0,-0.7794217181443517
1.01,-0.7787668984951492
1.02,-0.7773385862835972
1.03,-0.775142063948594
1.04,-0.7721833538117047
1.05,-0.7684692083801886
1.06,-0.7640070999700914
1.07,-0.7588052096631379
1.08,-0.752872415611766
1.09,-0.7462182807072154
1.1,-0.7388530396261505
1.11,-0.7307875852718334
1.12,-0.7220334546263957
1.1300000000000001,-0.712602814031252
1.1400000000000001,-0.7025084439131931
1.1500000000000001,-0.6917637229741552
1.16,-0.6803826118631123
1.17,-0.6683796363489569
1.18,-0.6557698700136464
1.19,-0.6425689164852655
1.2,-0.6287928912310244
1.21,-0.6144584029305422
1.22,-0.5995825344500956
1.23,-0.5841828234387915
